depth,AUC,recall,precision,accuracy
2,0.8979166666666666,1.0,0.8631622085363237,0.8979166666666666
4,0.9,1.0,0.8492666126046878,0.9
8,0.84375,1.0,0.7654514859157454,0.84375
12,0.8104166666666667,1.0,0.7265742643101133,0.8104166666666667
16,0.8104166666666668,1.0,0.731672406908256,0.8104166666666668
20,0.7979166666666667,1.0,0.7174018581562867,0.7979166666666667
