data_set,kernel,n_procs,features,licit_data,entanglement,layers,gamma,edge_prob,neighbours,seed,mps_wall_time,dot_wall_time,mpi_wall_time,total_wall_time,avg_max_chi,avg_mps_mem
elliptic,train,8,165,800,linear,2,0.1,0.0,1,5,326.94658419199914,2954.3942945449626,33.67789719099983,3317.9244646839998,2.0125,0.013262367248535157
elliptic,train,32,165,3200,linear,2,0.1,0.0,1,5,328.4796963849998,10038.646641713487,183.08482501299818,10556.563698156,2.01875,0.01322002410888672
elliptic,train,4,165,400,linear,2,0.1,0.0,1,5,329.84085024100045,1783.1658200289912,10.794812567000463,2126.7769711369997,2.025,0.013524246215820313
elliptic,train,2,165,200,linear,2,0.1,0.0,1,5,340.53917789900083,1189.809401400023,2.3363715590003267,1535.1777623300002,2.03125,0.013175582885742188
elliptic,train,16,165,1600,linear,2,0.1,0.0,1,5,326.1568238130037,5283.066523408995,61.14022052700011,5674.353285764,2.0,0.013288307189941406
