data_set,kernel,features,licit_data,entanglement,layers,gamma,edge_prob,neighbours,seed,avg_mps_time,avg_dot_time,avg_max_chi,avg_mps_mem
elliptic,train,60,5,linear,2,0.5,0.0,6,5,15.909139302375081,0.008343709093729501,51.125,0.42461395263671875
elliptic,train,120,5,linear,2,1.0,0.0,6,5,38.011294618375075,0.017701410250019478,94.25,1.7163124084472656
elliptic,train,30,5,linear,2,0.1,0.0,6,5,6.632441497124972,0.004286227718758084,7.875,0.01842498779296875
elliptic,train,150,5,linear,2,1.0,0.0,6,5,53.06877689150002,0.024330404953111895,120.625,3.7893295288085938
elliptic,train,60,5,linear,2,1.0,0.0,6,5,15.623687167375067,0.00812582660935135,37.875,0.3580436706542969
elliptic,train,90,5,linear,2,1.0,0.0,6,5,25.7138892910001,0.012399556578074566,57.375,0.6534576416015625
elliptic,train,120,5,linear,2,0.5,0.0,6,5,42.404486579125034,0.019032889359351657,150.5,8.498661041259766
elliptic,train,165,5,linear,2,0.1,0.0,6,5,52.32067937737503,0.0268048305937576,16.875,0.24452590942382812
elliptic,train,90,5,linear,2,0.5,0.0,6,5,26.52904949462493,0.01280035173434868,73.125,0.9156990051269531
elliptic,train,150,5,linear,2,0.1,0.0,6,5,46.183756151999994,0.023430834546871893,15.875,0.20362091064453125
elliptic,train,90,5,linear,2,0.1,0.0,6,5,24.440646326999968,0.012253532609399542,14.75,0.07558441162109375
elliptic,train,30,5,linear,2,0.5,0.0,6,5,7.197013285374965,0.004430805656280512,33.75,0.20010757446289062
elliptic,train,165,5,linear,2,0.5,0.0,6,5,71.23641758337502,0.028860112046888986,191.125,30.881683349609375
elliptic,train,30,5,linear,2,1.0,0.0,6,5,7.192583745875027,0.0048197027656193825,33.875,0.2789306640625
elliptic,train,120,5,linear,2,0.1,0.0,6,5,34.64851892599995,0.017279543171845546,15.0,0.13986968994140625
elliptic,train,60,5,linear,2,0.1,0.0,6,5,14.92388007612496,0.007920668874998427,11.75,0.048534393310546875
elliptic,train,150,5,linear,2,0.5,0.0,6,5,60.87766300724999,0.024952565859372555,178.875,28.24199676513672
elliptic,train,165,5,linear,2,1.0,0.0,6,5,61.698229000875045,0.027979189015624684,130.25,6.775909423828125
